Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Unnamed: 11
2021;1º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado);Abertura de conta de depósito com documentação falsa;0;1;0;1;
2021;1º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado);Abertura de conta de pagamento sem documentação necessária ou com documentação falsa;0;1;0;1;
2021;1º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado);Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional);1;0;0;1;
2021;1º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado);Insatisfação com o atendimento prestado por agências;0;0;1;1;
2021;1º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado);Integridade, confiabilidade, segurança, sigilo e legitimidade das operações e serviços  - conta de pagamento pré-paga;0;1;0;1;
2021;1º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado);Irregularidades no processo de encerramento de conta de depósitos à vista;1;0;0;1;
2021;1º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado);Reclamações relacionadas a assuntos diversos;0;0;1;1;
2021;1º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado);Recusa de produtos ou serviços;0;0;2;2;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Abertura de conta de depósito com documentação falsa;1;2;0;3;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Ausência de informações sobre as regras de funcionamento nos contratos de cartões de crédito ou seu descumprimento;0;1;0;1;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Ausência de título adequado relativo a cartão de crédito;0;1;0;1;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Ausência de título adequado relativo a cartão de crédito consignado;0;1;0;1;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Bloqueio de conta;0;0;3;3;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;1;3;0;4;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Cartões de débito;0;0;1;1;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Cobrança irregular de tarifa em operação de crédito;0;1;0;1;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Cobranças diversas;0;0;15;15;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito (exceto consignado) sem a formalização do título adequado;1;0;0;1;
